trials = 10, intial chaos = 0.8, agile

0,1351180616753;50;0,4;sine
0,1058472740206;50;0,4;singer
0,10654586944635;50;0,4;sinu
0,10006265556263;50;0,5;bernoulli
0,11634339246026;50;0,5;chebyshev
0,11085657207284;50;0,5;circle
1,3549195954001;50;0,5;gauss
0,12368005223244;50;0,5;logistic
0,10517954798203;50;0,5;sine
0,11255689972519;50;0,5;singer
0,11603722304276;50;0,5;sinu
0,11004594719466;50;0,6;bernoulli
0,12659035769745;50;0,6;chebyshev
0,097410762576725;50;0,6;circle
1,2489911300366;50;0,6;gauss
0,12859225430646;50;0,6;logistic
0,11162523018189;50;0,6;sine
0,11223284210958;50;0,6;singer
0,12689530752435;50;0,6;sinu
0,11009840346534;50;0,7;bernoulli
0,13040145444089;50;0,7;chebyshev
0,10463550174433;50;0,7;circle
1,4120048086532;50;0,7;gauss
0,12364758835211;50;0,7;logistic
0,12259442970478;50;0,7;sine
0,13011767109905;50;0,7;singer
0,12225873485007;50;0,7;sinu
0,10368778333992;50;0,8;bernoulli
0,13020067532189;50;0,8;chebyshev
0,098029946133167;50;0,8;circle
1,4878532202582;50;0,8;gauss
0,13712584975037;50;0,8;logistic
0,12551281997929;50;0,8;sine
0,12797246329017;50;0,8;singer
0,1152909988187;50;0,8;sinu
0,10746107172882;50;0,9;bernoulli
0,14315397136017;50;0,9;chebyshev
0,097283299417994;50;0,9;circle
1,2579592070847;50;0,9;gauss
0,14978107514034;50;0,9;logistic
0,13317866150282;50;0,9;sine
0,13823159003755;50;0,9;singer
0,13527678836702;50;0,9;sinu
0,16594815468549;60;0,1;bernoulli
0,08831546309293;60;0,1;chebyshev
0,12775300043562;60;0,1;circle
1,3249412823055;60;0,1;gauss
0,084744612296652;60;0,1;logistic
0,10184893610036;60;0,1;sine
0,084148760582632;60;0,1;singer
0,08970598998025;60;0,1;sinu
0,091909500070742;60;0,2;bernoulli
0,094434837942546;60;0,2;chebyshev
0,088372987164458;60;0,2;circle
1,2548724793248;60;0,2;gauss
0,087402757460797;60;0,2;logistic
0,090848762542092;60;0,2;sine
0,10163000820568;60;0,2;singer
0,11080827481746;60;0,2;sinu
0,10293063647596;60;0,3;bernoulli
0,1084348590264;60;0,3;chebyshev
0,09906898021053;60;0,3;circle
1,3337725449164;60;0,3;gauss
0,096367069259451;60;0,3;logistic
0,10769301754842;60;0,3;sine
0,10517540768508;60;0,3;singer
0,096448604632299;60;0,3;sinu
0,096173036699141;60;0,4;bernoulli
0,10338275831011;60;0,4;chebyshev
0,10384047667363;60;0,4;circle
1,2180580862716;60;0,4;gauss
0,099415335593028;60;0,4;logistic
0,10340706319056;60;0,4;sine
0,12213966943465;60;0,4;singer
0,10342603090173;60;0,4;sinu
0,093573439036975;60;0,5;bernoulli
0,12478672054833;60;0,5;chebyshev
0,10704251392763;60;0,5;circle
1,2098138516694;60;0,5;gauss
0,11069079654736;60;0,5;logistic
0,11611260175167;60;0,5;sine
0,11685999808853;60;0,5;singer
0,12152572863075;60;0,5;sinu
0,10945580265432;60;0,6;bernoulli
0,12083635194284;60;0,6;chebyshev
0,092012565914218;60;0,6;circle
1,357364313585;60;0,6;gauss
0,11343455402856;60;0,6;logistic
0,12472759624431;60;0,6;sine
0,12054400497455;60;0,6;singer
0,1166684065818;60;0,6;sinu
0,10531028754131;60;0,7;bernoulli
0,12768936813163;60;0,7;chebyshev
0,098364886203002;60;0,7;circle
1,2755854267532;60;0,7;gauss
0,12559215308369;60;0,7;logistic
0,12240935163851;60;0,7;sine
0,12336775639974;60;0,7;singer
0,12491536480919;60;0,7;sinu
0,099023161880773;60;0,8;bernoulli
0,12463771941091;60;0,8;chebyshev
0,097291950469214;60;0,8;circle
1,1519663616331;60;0,8;gauss
0,12398960075208;60;0,8;logistic
0,12111520696464;60;0,8;sine
0,12790327381237;60;0,8;singer
0,12139291209128;60;0,8;sinu
0,10378281849333;60;0,9;bernoulli
0,13132813219333;60;0,9;chebyshev
0,10144525824962;60;0,9;circle
1,2277019609278;60;0,9;gauss
0,12159464057005;60;0,9;logistic
0,12961501786803;60;0,9;sine
0,13443622456388;60;0,9;singer
0,12892513332474;60;0,9;sinu
0,11183894163115;70;0,1;bernoulli
0,083805962451269;70;0,1;chebyshev
0,085079115026839;70;0,1;circle
1,1294235554673;70;0,1;gauss
0,10457388821743;70;0,1;logistic
0,08021172043601;70;0,1;sine
0,0887392931016;70;0,1;singer
0,082156526012535;70;0,1;sinu
0,091993311319221;70;0,2;bernoulli
0,094576320560723;70;0,2;chebyshev
0,10323036073171;70;0,2;circle
1,1127413165852;70;0,2;gauss
0,098634787753991;70;0,2;logistic
0,098049130539896;70;0,2;sine
0,10412423080625;70;0,2;singer
0,10061270098756;70;0,2;sinu
0,095595931998505;70;0,3;bernoulli
0,093572947765881;70;0,3;chebyshev
0,090615232652102;70;0,3;circle
1,1426508521026;70;0,3;gauss
0,099523788404069;70;0,3;logistic
0,093395745869416;70;0,3;sine
0,10217985034674;70;0,3;singer
0,099383007631161;70;0,3;sinu
0,09379313905319;70;0,4;bernoulli
0,10916640888868;70;0,4;chebyshev
0,10052863447856;70;0,4;circle
1,1196893370061;70;0,4;gauss
0,11394460384373;70;0,4;logistic
0,10873291484641;70;0,4;sine
0,11560729748359;70;0,4;singer
0,11081696308709;70;0,4;sinu
0,10762393166675;70;0,5;bernoulli
0,1211541522697;70;0,5;chebyshev
0,090135006324099;70;0,5;circle
1,1661304414424;70;0,5;gauss
0,11454607635392;70;0,5;logistic
0,11364363630649;70;0,5;sine
0,11870983291377;70;0,5;singer
0,12516521161662;70;0,5;sinu
0,10918313054713;70;0,6;bernoulli
0,12755787632729;70;0,6;chebyshev
0,10468872586981;70;0,6;circle
1,2736762534522;70;0,6;gauss
0,13628543577884;70;0,6;logistic
0,11938420724752;70;0,6;sine
0,11903981279262;70;0,6;singer
0,10668040855228;70;0,6;sinu
0,10486327264633;70;0,7;bernoulli
0,12959324611433;70;0,7;chebyshev
0,099244222090248;70;0,7;circle
1,1620876030573;70;0,7;gauss
0,12656214721654;70;0,7;logistic
0,11864829063876;70;0,7;sine
0,12165406469916;70;0,7;singer
0,11535232167052;70;0,7;sinu
0,09389425394188;70;0,8;bernoulli
0,12453979027958;70;0,8;chebyshev
0,097366748231122;70;0,8;circle
1,087224068035;70;0,8;gauss
0,12491773178559;70;0,8;logistic
0,12482426300869;70;0,8;sine
0,12572024041228;70;0,8;singer
0,11402510606796;70;0,8;sinu
0,1026156080835;70;0,9;bernoulli
0,1357024233939;70;0,9;chebyshev
0,098679889715178;70;0,9;circle
1,2230066826107;70;0,9;gauss
0,13091035894452;70;0,9;logistic
0,13006469910691;70;0,9;sine
0,13721658181089;70;0,9;singer
0,13091707388299;70;0,9;sinu
0,087198177731637;80;0,1;bernoulli
0,093321869594983;80;0,1;chebyshev
0,095832994635548;80;0,1;circle
1,1219538555514;80;0,1;gauss
0,093552660020852;80;0,1;logistic
0,091320127093399;80;0,1;sine
0,087617406471278;80;0,1;singer
0,092251116384113;80;0,1;sinu
0,096374470390682;80;0,2;bernoulli
0,10533804807669;80;0,2;chebyshev
0,093511243250664;80;0,2;circle
1,172388739159;80;0,2;gauss
0,10115602790192;80;0,2;logistic
0,092743946150472;80;0,2;sine
0,099775292520517;80;0,2;singer
0,099819358571179;80;0,2;sinu
0,09811245842631;80;0,3;bernoulli
0,10343357317231;80;0,3;chebyshev
0,096982746037289;80;0,3;circle
1,03111718906;80;0,3;gauss
0,10367056518175;80;0,3;logistic
0,099209695861587;80;0,3;sine
0,10437424332227;80;0,3;singer
0,10159041042296;80;0,3;sinu
0,098046118987966;80;0,4;bernoulli
0,1082795762544;80;0,4;chebyshev
0,094112802687384;80;0,4;circle
1,0504815354461;80;0,4;gauss
0,11378179191155;80;0,4;logistic
0,1074362925972;80;0,4;sine
0,11466344300268;80;0,4;singer
0,10545809666794;80;0,4;sinu
0,096969582437351;80;0,5;bernoulli
0,10954290392733;80;0,5;chebyshev
0,10071055105795;80;0,5;circle
1,1006610643655;80;0,5;gauss
0,12283409754044;80;0,5;logistic
0,11238968695501;80;0,5;sine
0,11641108961574;80;0,5;singer
0,12039651896588;80;0,5;sinu
0,096743445406129;80;0,6;bernoulli
0,11750311515356;80;0,6;chebyshev
0,094652218848568;80;0,6;circle
1,2685042694055;80;0,6;gauss
0,11516407319825;80;0,6;logistic
0,12823290238532;80;0,6;sine
0,12443456354976;80;0,6;singer
0,12787537567295;80;0,6;sinu
0,097031504690973;80;0,7;bernoulli
0,12975965537685;80;0,7;chebyshev
0,096396256027654;80;0,7;circle
1,1818431548116;80;0,7;gauss
0,12001199068041;80;0,7;logistic
0,12505987928167;80;0,7;sine
0,12432783913429;80;0,7;singer
0,12718761622137;80;0,7;sinu
0,10123813995335;80;0,8;bernoulli
0,12457230875578;80;0,8;chebyshev
0,1002079047222;80;0,8;circle
1,2733568851421;80;0,8;gauss
0,12318644919308;80;0,8;logistic
0,13562026890904;80;0,8;sine
0,12945161196886;80;0,8;singer
0,12351406732143;80;0,8;sinu
0,10058997337098;80;0,9;bernoulli
0,13129083126543;80;0,9;chebyshev
0,10102765775639;80;0,9;circle
1,0776146566283;80;0,9;gauss
0,13122939804077;80;0,9;logistic
0,13581571493138;80;0,9;sine
0,12713292584667;80;0,9;singer
0,14047514746277;80;0,9;sinu
0,099816134495383;90;0,1;bernoulli
0,085508316304076;90;0,1;chebyshev
0,080989422066592;90;0,1;circle
1,1300574372786;90;0,1;gauss
0,087690360884384;90;0,1;logistic
0,089835521067754;90;0,1;sine
0,092474669308212;90;0,1;singer
0,086861834738762;90;0,1;sinu
0,10045741032558;90;0,2;bernoulli
0,091807255591084;90;0,2;chebyshev
0,08804636302349;90;0,2;circle
1,0348841239456;90;0,2;gauss
0,098307072422272;90;0,2;logistic
0,088984219938988;90;0,2;sine
0,097109513144583;90;0,2;singer
0,10137114956671;90;0,2;sinu
0,096385165211878;90;0,3;bernoulli
0,11013596462854;90;0,3;chebyshev
0,10004367214354;90;0,3;circle
1,1210172686944;90;0,3;gauss
0,11171371140416;90;0,3;logistic
0,096774223957511;90;0,3;sine
0,10588290981165;90;0,3;singer
0,10153805787662;90;0,3;sinu
0,10245672862568;90;0,4;bernoulli
0,10896923605599;90;0,4;chebyshev
0,098062665304054;90;0,4;circle
1,1661491128873;90;0,4;gauss
0,10727618327252;90;0,4;logistic
0,115106806008;90;0,4;sine
0,11052523726621;90;0,4;singer
0,10697306352778;90;0,4;sinu
0,10589552430033;90;0,5;bernoulli
0,10661615638834;90;0,5;chebyshev
0,093024491158243;90;0,5;circle
1,118274079987;90;0,5;gauss
0,1193009273366;90;0,5;logistic
0,13725089679119;90;0,5;sine
0,11752713741403;90;0,5;singer
0,11717642049159;90;0,5;sinu
0,098285119906486;90;0,6;bernoulli
0,12291717133441;90;0,6;chebyshev
0,099930427929919;90;0,6;circle
1,085593328988;90;0,6;gauss
0,114840579632;90;0,6;logistic
0,11679517754061;90;0,6;sine
0,11692460716101;90;0,6;singer
0,13004965134642;90;0,6;sinu
0,096158906810674;90;0,7;bernoulli
0,12033962544248;90;0,7;chebyshev
0,10281542077014;90;0,7;circle
1,0977434871419;90;0,7;gauss
0,11654751151759;90;0,7;logistic
0,12099304546513;90;0,7;sine
0,11454378978839;90;0,7;singer
0,11841453773728;90;0,7;sinu
0,1035561864921;90;0,8;bernoulli
0,12365121831477;90;0,8;chebyshev
0,099744713698648;90;0,8;circle
1,1818684627124;90;0,8;gauss
0,1308543221998;90;0,8;logistic
0,12651406045566;90;0,8;sine
0,1327996587471;90;0,8;singer
0,12066965167741;90;0,8;sinu
0,093850493102216;90;0,9;bernoulli
0,12553823020143;90;0,9;chebyshev
0,094796671155928;90;0,9;circle
1,1170603054772;90;0,9;gauss
0,12828858461643;90;0,9;logistic
0,12318662269546;90;0,9;sine
0,11572624068445;90;0,9;singer
